Position_2,Final_result
23.0005,21.847868595150743
22.8031,21.681973655724743
22.560299999999998,21.448020430665682
22.36,21.25479221831994
22.203,21.10319785893169
22.0901,21.02157040375314
22.022100000000002,20.977404691163173
21.999399999999998,20.971791535571782
22.022100000000002,21.005272716632117
22.0901,21.071162675204896
22.2029,21.187264648053183
22.3602,21.339562088866547
22.5605,21.535622779671495
22.803,21.76766845967352
22.8468,21.80996378299525
22.4718,21.440641266558348
22.1355,21.1151428479245
21.84,20.817311041163546
21.5867,20.555396548971398
21.3772,20.352075278008602
21.2127,20.192307735486065
21.0945,20.056393937611816
21.0233,19.960627982340625
20.999499999999998,19.932573275291094
21.0233,19.955679538763775
21.0946,20.065914994885123
21.2127,20.18064205559433
21.377,20.34016150396094
21.5865,20.57820131814422
21.84,20.82416044189022
22.1356,21.139972575225425
22.4719,21.46573207583938
22.847,21.82846857368258
22.825100000000003,21.831844899697085
22.3604,21.401210811814444
21.9315,20.99939089890512
21.5405,20.619069839799945
21.1895,20.287172393827273
20.880499999999998,19.985776782645825
20.6151,19.72666940065501
20.3957,19.518117365004617
20.223399999999998,19.34965517962547
20.0994,19.228366117819395
20.0247,19.155279042812793
19.9997,19.132723535327113
20.0247,19.157188260423798
20.0994,19.228366117819395
20.223399999999998,19.34965517962547
20.3959,19.518312861467642
20.6153,19.732702892386598
20.880399999999998,19.98567089383462
21.1894,20.277093594913676
21.5404,20.618972499589667
21.9314,20.984814786026426
22.3603,21.401131918379715
22.8249,21.83167046084583
22.4717,21.465538493340542
21.954099999999997,20.96395997329703
21.4706,20.494432661103048
21.023600000000002,20.03115083451895
20.6154,19.633743029536376
20.2483,19.242324500792634
19.9248,18.92688485104056
19.6468,18.655557266086593
19.4164,18.430516960652913
19.2351,18.25332988118444
19.1048,18.125930531943055
19.0261,18.009973793907104
18.9998,17.98427116061966
19.0261,18.009973793907104
19.1048,18.089239797339225
19.2352,18.21662832912553
19.4162,18.393368668648293
19.6466,18.6665574128016
19.9249,18.938253122983568
20.2484,19.25378351571675
20.6155,19.65340552582214
21.0237,20.051027851888637
21.4708,20.485876817136166
21.9543,20.992273491821976
22.4719,21.49430561791183
23.0213,22.02588531903672
22.8031,21.847074796485764
22.203300000000002,21.265456823256883
21.6331,20.71118949248335
21.0949,20.212526522704376
20.5912,19.7206829641989
20.1246,19.264405047754046
19.697799999999997,18.86688586274263
19.313299999999998,18.50599059902184
18.9738,18.184935863863547
18.6814,17.897586949500898
18.439,17.667801660807466
18.2482,17.48007946880447
18.110699999999998,17.34475506557258
18.0277,17.26810090807073
18.0,17.24082793549142
18.0277,17.269780504895813
18.110699999999998,17.34981305505095
18.2482,17.48515180919189
18.4392,17.667998398119696
18.6816,17.906386671769727
18.973699999999997,18.193496058043806
19.3132,18.518245990503992
19.6977,18.895536535958325
20.1245,19.301312787120814
20.5911,19.74138284488876
21.0948,20.233509386461797
21.6329,20.75837199056619
22.203899999999997,21.292469705460224
22.8037,21.874597613009644
22.6718,21.719897380821596
22.023,21.09033871519745
21.4013,20.45473961853863
20.8084,19.877197328233176
20.2483,19.295269152036088
19.723,18.7822167111215
19.2354,18.26472177373817
18.7884,17.827376075205486
18.384900000000002,17.385165596516252
18.0279,17.035517340126372
17.7203,16.734010316837363
17.4645,16.518571939871173
17.2627,16.320403833788625
17.1173,16.17756893200682
17.0295,16.091297288470116
17.0001,16.10976704753445
17.0295,16.13868433204314
17.1173,16.265658022038608
17.2627,16.443722643317795
17.464299999999998,16.642168537619924
17.72,16.92405434415803
18.028,17.22712919251356
18.385,17.578194066257893
18.7885,17.974677801880038
19.2355,18.440196916506927
19.7232,18.918760648462207
20.2485,19.433585290262936
20.8086,20.005132777784056
21.4008,20.58409462101459
22.0224,21.210709751529475
22.672,21.860032196679093
22.6279,21.817096338674745
21.932299999999998,21.138933467309826
21.2601,20.48207610921909
20.6154,19.850864542805056
20.0,19.259098525146648
19.4166,18.685983549592272
18.868199999999998,18.146606475901134
18.357799999999997,17.652091073233912
17.8889,17.189948800655056
17.4646,16.77614843236936
17.0884,16.40482928550819
16.7631,16.083583345524715
16.4926,15.817874469226227
16.279,15.60677201541609
16.1248,15.452814830696571
16.0315,15.360570772254317
16.0003,15.32972140727305
16.0315,15.355995215550038
16.1247,15.448133224115132
16.279,15.592951331056584
16.4928,15.793290453262237
16.7634,16.060518725261527
17.0883,16.36686654000138
17.4645,16.719919200388873
17.8888,17.137984282077493
18.357699999999998,17.599625694069214
18.868,18.079226003121015
19.4164,18.617764206845646
19.9998,19.189923036135585
20.616,19.765712784134376
